,Anhui,Beijing,Guangdong,Henan,Hunan,Jiangxi,Shanghai,Zhejiang
0,60,47,166,158,97,127,68,161
1,74,58,204,194,120,156,84,198
2,91,71,251,238,147,191,103,243
3,109,84,299,284,175,228,123,290
4,128,100,353,335,207,269,146,342
5,150,117,413,392,242,315,170,400
6,175,136,481,457,282,367,199,467
7,203,158,559,531,328,427,231,543
8,236,184,650,617,381,496,268,630
9,274,213,754,716,442,575,311,731
10,318,247,874,830,512,667,361,847
11,368,287,1013,962,594,773,418,982
12,427,332,1173,1115,688,896,485,1138
13,495,385,1360,1292,798,1038,562,1319
14,573,446,1575,1497,924,1203,651,1528
15,664,517,1825,1734,1071,1393,754,1771
16,770,599,2115,2009,1241,1614,874,2052
17,874,680,2402,2282,1409,1834,993,2331
18,980,763,2692,2558,1579,2055,1113,2612
19,1087,846,2986,2838,1752,2280,1235,2898
20,1197,932,3288,3124,1929,2511,1359,3191
21,1310,1019,3597,3418,2110,2747,1487,3491
22,1425,1109,3914,3719,2296,2989,1618,3798
23,1543,1201,4237,4027,2486,3236,1752,4112
24,1663,1295,4568,4341,2680,3489,1889,4433
25,1786,1390,4903,4660,2877,3745,2028,4759
26,1909,1486,5242,4983,3076,4004,2168,5089
27,2034,1583,5583,5307,3277,4265,2309,5420
28,2158,1680,5924,5631,3477,4526,2451,5752
29,2282,1776,6263,5953,3676,4785,2591,6081
30,2357,1834,6467,6148,3796,4942,2676,6280
31,2390,1860,6559,6236,3850,5013,2714,6370
32,2389,1860,6556,6233,3849,5011,2713,6367
33,2359,1837,6474,6156,3800,4948,2679,6288
34,2306,1795,6327,6016,3715,4837,2619,6146
35,2234,1739,6129,5828,3598,4685,2537,5953
36,2147,1671,5889,5600,3457,4502,2438,5721
37,2048,1594,5618,5343,3298,4295,2326,5458
38,1941,1511,5325,5064,3126,4071,2204,5174
39,1829,1423,5016,4771,2945,3836,2077,4874
40,1713,1334,4699,4469,2759,3593,1945,4566
